structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR011022,1,10,162,20230,0.0840172814550576,0.137482824199185,0.000231481481481481,1.09648086822817,./generated_files/OUT/OUT
IPR000938,1,10,162,20230,0.0840172814550576,0.137482824199185,0.000231481481481481,1.09648086822817,./generated_files/OUT/OUT
IPR011539,1,10,162,20230,0.0840172814550576,0.137482824199185,0.000231481481481481,1.09648086822817,./generated_files/OUT/OUT
IPR002068,1,10,162,20230,0.0840172814550576,0.137482824199185,0.000231481481481481,1.09648086822817,./generated_files/OUT/OUT
IPR003619,1,12,162,20230,0.0985212871803705,0.156474985521765,0.000231481481481481,1.01729962218055,./generated_files/OUT/OUT
IPR015359,1,12,162,20230,0.0985212871803705,0.156474985521765,0.000231481481481481,1.01729962218055,./generated_files/OUT/OUT
IPR020864,1,12,162,20230,0.0985212871803705,0.156474985521765,0.000231481481481481,1.01729962218055,./generated_files/OUT/OUT
IPR001293,1,12,162,20230,0.0985212871803705,0.156474985521765,0.000231481481481481,1.01729962218055,./generated_files/OUT/OUT
IPR000562,1,13,162,20230,0.105687465671797,0.166631332738016,0.000231481481481481,0.982537515921337,./generated_files/OUT/OUT
IPR000538,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR030381,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR013520,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR001464,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR021743,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR007593,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR000270,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR005818,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR007123,1,14,162,20230,0.112797026500198,0.16687779263043,0.000231481481481481,0.950352832549936,./generated_files/OUT/OUT
IPR001711,1,15,162,20230,0.119850414226898,0.176106731108911,0.000231481481481481,0.920389609172492,./generated_files/OUT/OUT
IPR000471,1,16,162,20230,0.126848069944176,0.180257783604882,0.000231481481481481,0.892360885572249,./generated_files/OUT/OUT
IPR005113,1,16,162,20230,0.126848069944176,0.180257783604882,0.000231481481481481,0.892360885572249,./generated_files/OUT/OUT
IPR005112,1,16,162,20230,0.126848069944176,0.180257783604882,0.000231481481481481,0.892360885572249,./generated_files/OUT/OUT
IPR001079,1,16,162,20230,0.126848069944176,0.180257783604882,0.000231481481481481,0.892360885572249,./generated_files/OUT/OUT
IPR001194,1,16,162,20230,0.126848069944176,0.180257783604882,0.000231481481481481,0.892360885572249,./generated_files/OUT/OUT
IPR001019,1,17,162,20230,0.133790431302166,0.185248289495307,0.000231481481481481,0.8660319468499,./generated_files/OUT/OUT
IPR004148,1,17,162,20230,0.133790431302166,0.185248289495307,0.000231481481481481,0.8660319468499,./generated_files/OUT/OUT
IPR000716,1,17,162,20230,0.133790431302166,0.185248289495307,0.000231481481481481,0.8660319468499,./generated_files/OUT/OUT
IPR001507,1,17,162,20230,0.133790431302166,0.185248289495307,0.000231481481481481,0.8660319468499,./generated_files/OUT/OUT
IPR000095,1,18,162,20230,0.140677932535554,0.189915208922998,0.000231481481481481,0.841208363124868,./generated_files/OUT/OUT
IPR002223,1,18,162,20230,0.140677932535554,0.189915208922998,0.000231481481481481,0.841208363124868,./generated_files/OUT/OUT
IPR000326,1,18,162,20230,0.140677932535554,0.189915208922998,0.000231481481481481,0.841208363124868,./generated_files/OUT/OUT
IPR000001,1,18,162,20230,0.140677932535554,0.189915208922998,0.000231481481481481,0.841208363124868,./generated_files/OUT/OUT
IPR000909,1,19,162,20230,0.147511004490064,0.196681339320085,0.000231481481481481,0.817727267275345,./generated_files/OUT/OUT
IPR001054,1,19,162,20230,0.147511004490064,0.196681339320085,0.000231481481481481,0.817727267275345,./generated_files/OUT/OUT
IPR000867,1,20,162,20230,0.154290074648743,0.204458013031463,0.000231481481481481,0.795450872564193,./generated_files/OUT/OUT
IPR000421,1,23,162,20230,0.174307499286393,0.225451615843478,0.000231481481481481,0.734753032210581,./generated_files/OUT/OUT
IPR000834,1,23,162,20230,0.174307499286393,0.225451615843478,0.000231481481481481,0.734753032210581,./generated_files/OUT/OUT
IPR000157,1,23,162,20230,0.174307499286393,0.225451615843478,0.000231481481481481,0.734753032210581,./generated_files/OUT/OUT
IPR001111,1,23,162,20230,0.174307499286393,0.225451615843478,0.000231481481481481,0.734753032210581,./generated_files/OUT/OUT
IPR000182,1,24,162,20230,0.180874770747293,0.231177221783522,0.000231481481481481,0.716269626516568,./generated_files/OUT/OUT
IPR001763,1,24,162,20230,0.180874770747293,0.231177221783522,0.000231481481481481,0.716269626516568,./generated_files/OUT/OUT
IPR001357,1,26,162,20230,0.193853979772035,0.244868184975202,0.000231481481481481,0.681507520257356,./generated_files/OUT/OUT
IPR004045,1,26,162,20230,0.193853979772035,0.244868184975202,0.000231481481481481,0.681507520257356,./generated_files/OUT/OUT
IPR001879,1,27,162,20230,0.200266729847012,0.251497753761364,0.000231481481481481,0.665117104069186,./generated_files/OUT/OUT
IPR011527,1,28,162,20230,0.206628780022066,0.256504692441185,0.000231481481481481,0.649322836885954,./generated_files/OUT/OUT
IPR003594,1,28,162,20230,0.206628780022066,0.256504692441185,0.000231481481481481,0.649322836885954,./generated_files/OUT/OUT
IPR000306,1,29,162,20230,0.212940528666,0.262829452524891,0.000231481481481481,0.634082870329218,./generated_files/OUT/OUT
IPR002909,1,30,162,20230,0.219202371036892,0.269021091727095,0.000231481481481481,0.619359613508511,./generated_files/OUT/OUT
IPR010987,1,32,162,20230,0.231577902582871,0.282603542135029,0.000231481481481481,0.591330889908268,./generated_files/OUT/OUT
